GSSCode,gridCol,gridRow
E09000001,5,4
E09000002,8,4
E09000003,4,2
E09000004,8,5
E09000005,3,3
E09000006,6,6
E09000007,4,3
E09000008,5,6
E09000009,2,3
E09000010,5,1
E09000011,7,5
E09000012,6,3
E09000013,2,4
E09000014,5,2
E09000015,3,2
E09000016,8,3
E09000017,1,3
E09000018,1,4
E09000019,5,3
E09000020,3,4
E09000021,3,6
E09000022,4,5
E09000023,6,5
E09000024,4,6
E09000025,7,4
E09000026,7,3
E09000027,2,5
E09000028,5,5
E09000029,4,7
E09000030,6,4
E09000031,6,2
E09000032,3,5
E09000033,4,4
