GSSCode,Borough,Yr,Population,Fatal,Serious,Slight
E09000020,Kensington and Chelsea,2016,157000,2,67,1202
E09000021,Kingston upon Thames,2016,176000,10,37,313
E09000022,Lambeth,2016,328000,1,121,1338
E09000023,Lewisham,2016,302000,2,65,983
E09000024,Merton,2016,205000,9,41,579
E09000025,Newham,2016,341000,4,81,933
E09000026,Redbridge,2016,299000,10,64,446
E09000027,Richmond upon Thames,2016,196000,9,47,855
E09000028,Southwark,2016,313000,5,76,1368
E09000029,Sutton,2016,202000,7,29,396
E09000030,Tower Hamlets,2016,305000,2,113,1351
E09000031,Waltham Forest,2016,276000,8,56,761
E09000032,Wandsworth,2016,316000,5,93,987
E09000033,Westminster,2016,248000,3,159,1604
E09000001,City of London,2017,8000,2,52,312
E09000002,Barking and Dagenham,2017,211000,3,88,746
E09000003,Barnet,2017,388000,8,140,496
E09000004,Bexley,2017,246000,11,55,533
E09000005,Brent,2017,329000,6,126,926
E09000006,Bromley,2017,329000,9,105,517
E09000007,Camden,2017,253000,4,140,1439
E09000008,Croydon,2017,385000,9,121,531
E09000009,Ealing,2017,343000,9,155,1104
E09000010,Enfield,2017,333000,10,120,562
E09000011,Greenwich,2017,283000,5,94,877
E09000012,Hackney,2017,276000,3,149,1345
E09000013,Hammersmith and Fulham,2017,183000,2,95,1364
E09000014,Haringey,2017,271000,3,135,1127
E09000015,Harrow,2017,249000,10,67,450
E09000016,Havering,2017,256000,9,68,618
E09000017,Hillingdon,2017,302000,10,95,499
E09000018,Hounslow,2017,269000,9,112,476
E09000019,Islington,2017,235000,3,122,1529
E09000020,Kensington and Chelsea,2017,156000,6,110,1283
E09000021,Kingston upon Thames,2017,175000,11,49,372
E09000022,Lambeth,2017,324000,5,202,1335
E09000023,Lewisham,2017,301000,7,113,990
E09000024,Merton,2017,206000,8,60,539
E09000025,Newham,2017,348000,4,147,856
E09000026,Redbridge,2017,302000,11,72,449
E09000027,Richmond upon Thames,2017,196000,4,74,836
E09000028,Southwark,2017,314000,3,148,1300
E09000029,Sutton,2017,203000,6,60,472
E09000030,Tower Hamlets,2017,308000,3,181,1316
E09000031,Waltham Forest,2017,276000,9,88,752
E09000032,Wandsworth,2017,323000,4,143,988
E09000033,Westminster,2017,245000,2,264,1747
E09000001,City of London,2018,8700,1,81,231
E09000002,Barking and Dagenham,2018,212000,2,98,694
E09000003,Barnet,2018,392100,4,131,478
E09000004,Bexley,2018,247300,11,78,555
E09000005,Brent,2018,330800,5,150,950
E09000006,Bromley,2018,331100,10,108,483
E09000007,Camden,2018,262200,5,147,1472
E09000008,Croydon,2018,385300,10,107,538
E09000009,Ealing,2018,342000,10,139,1019
E09000010,Enfield,2018,333900,8,118,502
E09000011,Greenwich,2018,286200,6,101,778
E09000012,Hackney,2018,279700,2,158,1325
E09000013,Hammersmith and Fulham,2018,185400,1,111,1376
E09000014,Haringey,2018,270600,2,116,900
E09000015,Harrow,2018,250100,11,71,439
E09000016,Havering,2018,257800,10,77,604
E09000017,Hillingdon,2018,304800,10,119,493
E09000018,Hounslow,2018,270800,9,120,435
E09000019,Islington,2018,239100,2,139,1511
E09000020,Kensington and Chelsea,2018,156200,3,123,1224
E09000021,Kingston upon Thames,2018,175500,9,53,334
E09000022,Lambeth,2018,325900,1,201,1256
E09000023,Lewisham,2018,303500,6,101,904
E09000024,Merton,2018,206200,8,74,521
E09000025,Newham,2018,352000,5,103,878
E09000026,Redbridge,2018,303900,10,103,483
E09000027,Richmond upon Thames,2018,196900,8,83,817
E09000028,Southwark,2018,317300,2,187,1300
E09000029,Sutton,2018,204500,7,67,438
E09000030,Tower Hamlets,2018,317700,3,161,1371
E09000031,Waltham Forest,2018,276700,8,96,740
E09000032,Wandsworth,2018,326500,6,163,939
E09000033,Westminster,2018,255300,4,269,1638
