GSSCode,Borough,Yr,Accidents,Road length
E09000026,Redbridge,2017,1030,533
E09000027,Richmond upon Thames,2017,513,415
E09000028,Southwark,2017,1251,393.4
E09000029,Sutton,2017,533,432.2
E09000030,Tower Hamlets,2017,1303,285.1
E09000031,Waltham Forest,2017,844,425.6
E09000032,Wandsworth,2017,1135,437.4
E09000033,Westminster,2017,1917,339.7
E09000001,City of London,2018,313,55.2
E09000002,Barking and Dagenham,2018,794,340.3
E09000003,Barnet,2018,1213,762.8
E09000004,Bexley,2018,636,560.1
E09000005,Brent,2018,1105,487.4
E09000006,Bromley,2018,894,906.2
E09000007,Camden,2018,1024,282.5
E09000008,Croydon,2018,1049,778.1
E09000009,Ealing,2018,1193,587.8
E09000010,Enfield,2018,1128,640.5
E09000011,Greenwich,2018,887,502.6
E09000012,Hackney,2018,985,277.1
E09000013,Hammersmith and Fulham,2018,788,220.8
E09000014,Haringey,2018,1018,356.7
E09000015,Harrow,2018,510,474.1
E09000016,Havering,2018,784,660.7
E09000017,Hillingdon,2018,918,757.6
E09000018,Hounslow,2018,957,499.3
E09000019,Islington,2018,852,238
E09000020,Kensington and Chelsea,2018,750,204.9
E09000021,Kingston upon Thames,2018,389,344.8
E09000022,Lambeth,2018,1458,383.1
E09000023,Lewisham,2018,1011,457
E09000024,Merton,2018,598,376.4
E09000025,Newham,2018,1086,426.8
E09000026,Redbridge,2018,987,533
E09000027,Richmond upon Thames,2018,502,415
E09000028,Southwark,2018,1289,393.4
E09000029,Sutton,2018,508,432.2
E09000030,Tower Hamlets,2018,1334,285.1
E09000031,Waltham Forest,2018,843,425.6
E09000032,Wandsworth,2018,1108,437.4
E09000033,Westminster,2018,1710,339.7
