GSSCode,Borough,Yr,Accidents,Average
E09000015,Harrow,2017,519,513
E09000016,Havering,2017,790,780
E09000017,Hillingdon,2017,997,880
E09000018,Hounslow,2017,1090,1002
E09000019,Islington,2017,954,902
E09000020,Kensington and Chelsea,2017,799,749
E09000021,Kingston upon Thames,2017,422,410
E09000022,Lambeth,2017,1542,1417
E09000023,Lewisham,2017,1110,1019
E09000024,Merton,2017,599,586
E09000025,Newham,2017,1105,1028
E09000026,Redbridge,2017,1030,940
E09000027,Richmond upon Thames,2017,513,511
E09000028,Southwark,2017,1251,1121
E09000029,Sutton,2017,533,454
E09000030,Tower Hamlets,2017,1303,1222
E09000031,Waltham Forest,2017,844,809
E09000032,Wandsworth,2017,1135,1080
E09000033,Westminster,2017,1917,1773
E09000001,City of London,2018,313,360
E09000002,Barking and Dagenham,2018,794,678
E09000003,Barnet,2018,1213,1255
E09000004,Bexley,2018,636,558
E09000005,Brent,2018,1105,1074
E09000006,Bromley,2018,894,898
E09000007,Camden,2018,1024,990
E09000008,Croydon,2018,1049,1083
E09000009,Ealing,2018,1163,1215
E09000010,Enfield,2018,1128,1052
E09000011,Greenwich,2018,887,804
E09000012,Hackney,2018,985,984
E09000013,Hammersmith and Fulham,2018,788,726
E09000014,Haringey,2018,1018,1216
E09000015,Harrow,2018,510,513
E09000016,Havering,2018,784,780
E09000017,Hillingdon,2018,918,880
E09000018,Hounslow,2018,957,1002
E09000019,Islington,2018,852,902
E09000020,Kensington and Chelsea,2018,750,749
E09000021,Kingston upon Thames,2018,389,410
E09000022,Lambeth,2018,1458,1417
E09000023,Lewisham,2018,1011,1019
E09000024,Merton,2018,598,586
E09000025,Newham,2018,1086,1028
E09000026,Redbridge,2018,987,940
E09000027,Richmond upon Thames,2018,502,511
E09000028,Southwark,2018,1289,1121
E09000029,Sutton,2018,508,454
E09000030,Tower Hamlets,2018,1334,1222
E09000031,Waltham Forest,2018,843,809
E09000032,Wandsworth,2018,1108,1080
E09000033,Westminster,2018,1710,1773
